CovidDate,DemStatesNewCovidCases,RepStatesNewCovidCases
2020-01-21,1,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,1,0
2020-01-25,1,0
2020-01-26,1,1
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,1,0
2020-01-31,1,0
2020-02-01,0,1
2020-02-02,3,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,1,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,1,0
2020-02-11,0,0
2020-02-12,0,1
2020-02-13,0,1
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,10
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,1,1
2020-02-21,1,2
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,6,7
2020-02-25,0,2
2020-02-26,15,0
2020-02-27,0,0
2020-02-28,4,1
2020-02-29,5,0
2020-03-01,13,2
2020-03-02,12,4
2020-03-03,17,3
2020-03-04,35,1
2020-03-05,55,10
2020-03-06,61,20
2020-03-07,89,20
2020-03-08,79,38
2020-03-09,157,35
2020-03-10,155,96
2020-03-11,176,48
2020-03-12,292,68
2020-03-13,368,111
2020-03-14,427,125
2020-03-15,442,194
2020-03-16,573,191
2020-03-17,909,295
2020-03-18,1242,478
2020-03-19,2199,675
2020-03-20,2581,997
2020-03-21,3409,1069
2020-03-22,4319,1190
2020-03-23,5338,1278
2020-03-24,5531,2062
2020-03-25,6150,2899
2020-03-26,9660,3179
2020-03-27,9844,4412
2020-03-28,10378,4411
2020-03-29,10533,3951
2020-03-30,11712,4587
2020-03-31,13433,5962
2020-04-01,14702,6201
2020-04-02,17374,7164
2020-04-03,19413,7752
2020-04-04,21861,7088
2020-04-05,15610,5442
2020-04-06,18254,7567
2020-04-07,18651,8031
2020-04-08,18459,7862
2020-04-09,19773,9293
2020-04-10,19006,8659
2020-04-11,17202,7613
2020-04-12,14185,7507
2020-04-13,14125,7688
2020-04-14,16383,6578
2020-04-15,14847,7816
2020-04-16,17514,8961
2020-04-17,17054,9997
2020-04-18,15638,8392
2020-04-19,14020,8158
2020-04-20,16000,8311
2020-04-21,14599,7961
2020-04-22,17035,7474
2020-04-23,17991,11593
2020-04-24,20204,12461
2020-04-25,19790,9396
2020-04-26,15365,7736
2020-04-27,12168,8196
2020-04-28,14745,8595
2020-04-29,15713,8593
2020-04-30,17471,9574
2020-05-01,18188,12919
2020-05-02,15570,10842
2020-05-03,15025,8228
2020-05-04,11631,8955
2020-05-05,14205,8125
2020-05-06,13291,9801
2020-05-07,15651,9866
2020-05-08,15247,10320
2020-05-09,14110,8925
2020-05-10,10938,7394
2020-05-11,11573,6833
2020-05-12,12898,8247
2020-05-13,11392,8079
2020-05-14,15602,9816
2020-05-15,13605,9969
2020-05-16,13175,8790
2020-05-17,10246,6867
2020-05-18,13324,7730
2020-05-19,11038,9024
2020-05-20,13627,8710
2020-05-21,13782,10217
2020-05-22,14071,8541
2020-05-23,12380,8251
2020-05-24,10903,8531
2020-05-25,11897,6911
2020-05-26,10817,7694
2020-05-27,9791,8294
2020-05-28,11546,9575
2020-05-29,12998,10579
2020-05-30,12656,9343
2020-05-31,11252,8521
2020-06-01,10740,10742
2020-06-02,10171,9471
2020-06-03,9749,9697
2020-06-04,10202,10318
2020-06-05,16499,11438
2020-06-06,10928,10518
2020-06-07,9573,8226
2020-06-08,9451,8317
2020-06-09,8746,9423
2020-06-10,8542,11636
2020-06-11,10326,12294
2020-06-12,11247,13458
2020-06-13,10994,13328
2020-06-14,8055,10041
2020-06-15,8787,11226
2020-06-16,8968,15304
2020-06-17,10561,14772
2020-06-18,9974,16291
2020-06-19,11252,20105
2020-06-20,11802,18310
2020-06-21,10061,15797
2020-06-22,12677,18188
2020-06-23,13763,20839
